AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.1.576.0,

PROFILE DETAILS
CPU Details:,Family(0x1a) Model(0x24)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-21-2025_13-22-05,
Profile Duration:,20 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
72.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
74.,core0-power,Power,W,Core0-Average Power reported in Watts.
76.,core1-power,Power,W,Core1-Average Power reported in Watts.
78.,core2-power,Power,W,Core2-Average Power reported in Watts.
80.,core3-power,Power,W,Core3-Average Power reported in Watts.
82.,core4-power,Power,W,Core4-Average Power reported in Watts.
84.,core5-power,Power,W,Core5-Average Power reported in Watts.
86.,core6-power,Power,W,Core6-Average Power reported in Watts.
88.,core7-power,Power,W,Core7-Average Power reported in Watts.
90.,core8-power,Power,W,Core8-Average Power reported in Watts.
92.,core9-power,Power,W,Core9-Average Power reported in Watts.
94.,core10-power,Power,W,Core10-Average Power reported in Watts.
96.,core11-power,Power,W,Core11-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power,core8-power,core9-power,core10-power,core11-power
64,13:22:11:806,   42.46,    4.64,    4.74,    4.75,    4.74,    2.27,    1.78,    2.64,    2.64,    2.61,    1.39,    2.55,    1.37
65,13:22:11:909,   42.33,    5.11,    4.74,    4.67,    4.58,    1.95,    2.61,    2.58,    1.63,    2.55,    1.30,    2.53,    1.28
66,13:22:12:009,   42.46,    4.70,    4.75,    4.70,    5.00,    2.60,    2.62,    2.55,    1.61,    1.98,    1.65,    2.31,    1.38
67,13:22:12:109,   42.15,    4.73,    4.83,    4.73,    4.63,    2.59,    2.02,    2.12,    2.66,    1.71,    2.61,    1.29,    2.01
68,13:22:12:211,   42.79,    4.69,    4.43,    4.77,    5.01,    2.15,    1.95,    1.89,    2.12,    2.53,    2.30,    2.06,    2.40
69,13:22:12:313,   42.36,    4.60,    4.56,    4.75,    4.69,    1.37,    1.32,    2.65,    2.66,    2.59,    2.64,    2.61,    1.37
70,13:22:12:417,   42.63,    4.67,    4.74,    4.74,    4.70,    1.43,    1.34,    2.59,    2.65,    2.57,    2.64,    2.57,    1.46
71,13:22:12:520,   42.96,    4.68,    4.74,    4.70,    4.64,    1.39,    1.56,    2.55,    2.62,    2.57,    2.59,    2.54,    1.39
72,13:22:12:622,   42.20,    4.93,    4.87,    4.73,    4.79,    1.64,    1.29,    2.69,    2.25,    2.42,    2.13,    2.42,    1.44
73,13:22:12:725,   42.01,    4.67,    4.69,    4.74,    5.01,    2.36,    1.41,    2.62,    2.59,    2.54,    1.40,    2.55,    1.39
74,13:22:12:828,   42.91,    4.69,    4.70,    4.73,    4.72,    1.40,    1.35,    2.59,    2.63,    2.59,    2.62,    2.57,    1.31
75,13:22:12:931,   42.32,    4.66,    4.73,    4.76,    4.64,    1.36,    1.31,    2.61,    2.63,    2.59,    2.60,    2.58,    1.27
76,13:22:13:034,   42.65,    4.65,    4.40,    4.73,    4.70,    1.45,    1.42,    2.61,    1.95,    2.59,    2.62,    2.58,    2.34
77,13:22:13:136,   42.92,    4.70,    4.72,    4.73,    4.71,    2.48,    1.56,    1.62,    2.51,    1.64,    2.64,    2.57,    2.58
78,13:22:13:238,   42.71,    4.63,    4.62,    4.99,    4.58,    2.28,    1.72,    2.54,    2.34,    2.46,    1.52,    2.56,    1.74
79,13:22:13:339,   42.65,    4.66,    4.73,    4.71,    4.81,    2.46,    1.57,    1.81,    2.62,    2.54,    1.62,    2.56,    2.23
80,13:22:13:439,   42.59,    4.70,    4.70,    4.70,    4.65,    2.58,    1.45,    1.53,    2.51,    2.55,    1.48,    2.56,    2.54
